[2026-05-20T13:43:06] server start port=8787 root=H:\FDTD outcome\struct\群论_struct
[2026-05-20T13:43:41] "GET /api/v2/bootstrap HTTP/1.1" 200 -
[2026-05-20T13:43:42] "GET / HTTP/1.1" 200 -
[2026-05-20T13:43:57] "POST /api/v2/index/refresh HTTP/1.1" 200 -
[2026-05-20T13:43:59] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:44:01] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:44:03] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:44:06] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:44:08] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:44:10] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:44:12] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:44:14] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:44:16] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:44:18] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:44:20] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:44:22] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:44:24] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:44:26] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:44:28] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:44:30] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:44:32] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:44:34] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:44:36] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:44:38] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:44:40] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:44:42] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:44:44] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:44:46] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:44:48] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:44:50] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:44:52] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:44:54] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:44:56] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:45:10] "GET /api/v2/bootstrap HTTP/1.1" 200 -
[2026-05-20T13:47:49] server start port=8787 root=H:\FDTD outcome\struct\群论_struct
[2026-05-20T13:48:19] "GET /api/v2/bootstrap HTTP/1.1" 200 -
[2026-05-20T13:48:36] "POST /api/v2/index/refresh HTTP/1.1" 200 -
[2026-05-20T13:48:37] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:48:38] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:48:39] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:48:40] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:48:41] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:48:42] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:48:43] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:48:44] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:48:45] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:48:46] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:48:47] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:48:48] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:48:49] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:48:50] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:48:51] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:48:52] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:48:53] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:48:54] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:48:55] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:48:56] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:48:57] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:48:58] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:48:59] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:49:00] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:49:02] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:49:03] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:49:04] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:49:05] "GET /api/v2/index/status HTTP/1.1" 200 -
